number,value,datetime_start,datetime_complete,duration,params_dropout,params_heads,params_hid_dim,params_layers,params_lr,state
0,-1.1441260943810145,2024-12-13 21:07:25.619148,2024-12-13 21:12:46.417346,0 days 00:05:20.798198,0.5,2,128,3,0.0015930522616241021,COMPLETE
1,-1.1314242715636889,2024-12-13 21:12:46.418107,2024-12-13 21:30:50.949649,0 days 00:18:04.531542,0.1,2,256,4,0.0011207606211860576,COMPLETE
2,-1.134125953912735,2024-12-13 21:30:50.951056,2024-12-13 21:55:33.243573,0 days 00:24:42.292517,0.4,8,256,2,0.00025081156860452336,COMPLETE
3,-1.1516587490836778,2024-12-13 21:55:33.244297,2024-12-13 22:06:41.882212,0 days 00:11:08.637915,0.5,8,128,3,0.004138040112561018,COMPLETE
4,-1.137841027478377,2024-12-13 22:06:41.883036,2024-12-13 22:24:50.773643,0 days 00:18:08.890607,0.5,4,256,3,0.00032927591344236165,COMPLETE
5,-1.1512541989485423,2024-12-13 22:24:50.775018,2024-12-13 22:32:24.610878,0 days 00:07:33.835860,0.5,4,64,3,0.006161049539380964,COMPLETE
6,-1.146621622145176,2024-12-13 22:32:24.611643,2024-12-13 22:45:33.039138,0 days 00:13:08.427495,0.1,8,128,2,0.004544383960336018,COMPLETE
7,-1.1350614557663599,2024-12-13 22:45:33.039821,2024-12-13 23:03:24.488692,0 days 00:17:51.448871,0.4,8,256,2,0.00024970737145052745,COMPLETE
8,-1.1478786791364353,2024-12-13 23:03:24.489456,2024-12-13 23:05:33.811176,0 days 00:02:09.321720,0.0,2,128,4,0.005323617594751502,COMPLETE
9,-1.1358482390642166,2024-12-13 23:05:33.811916,2024-12-13 23:08:04.657964,0 days 00:02:30.846048,0.5,4,64,2,0.0008798929749689023,COMPLETE
